q_ch4,q_co2,q_gas,q_h2
1795.490174,999.938442,2948.600801,0.05068997
1795.511121,999.9603193,2948.645832,0.050687143
1795.530129,999.9806694,2948.687218,0.050684225
1795.546773,999.9992283,2948.724235,0.050681204
1795.56081,1000.015846,2948.756468,0.050678074
1795.572511,1000.030704,2948.784395,0.050674844
1795.583899,1000.045112,2948.811518,0.050671571
1795.59428,1000.058636,2948.836653,0.050668237
1795.603366,1000.071098,2948.85931,0.050664833
1795.610987,1000.082395,2948.8792,0.050661356
1795.616934,1000.092399,2948.895971,0.0506578
1795.621184,1000.1011,2948.909587,0.050654165
1795.623722,1000.108497,2948.92003,0.050650451
1795.624435,1000.114522,2948.927113,0.050646656
1795.623357,1000.119204,2948.930898,0.050642781
1795.620508,1000.12256,2948.931426,0.050638827
1795.615797,1000.124539,2948.928549,0.050634792
1795.60927,1000.125174,2948.92235,0.050630678
1795.600954,1000.12449,2948.91288,0.050626487
1795.590765,1000.122438,2948.900003,0.050622215
1795.57875,1000.119052,2948.883802,0.050617866
1795.564935,1000.114355,2948.864331,0.050613441
1795.549242,1000.1083,2948.841455,0.050608937
1795.531713,1000.100919,2948.815256,0.050604356
1795.512376,1000.092236,2948.785785,0.0505997
1795.491152,1000.082203,2948.75291,0.050594967
1795.468084,1000.070852,2948.716708,0.050590158
1795.443196,1000.058203,2948.677229,0.050585275
1795.416412,1000.04421,2948.634343,0.050580315
1795.387771,1000.028903,2948.588123,0.050575282
1795.357299,1000.012302,2948.538615,0.050570174
1795.32492,999.9943601,2948.485692,0.050564992
1795.290671,999.9751062,2948.429422,0.050559736
1795.254577,999.9545588,2948.369852,0.050554408
1795.216563,999.9326728,2948.306855,0.050549005
1795.176666,999.9094746,2948.240497,0.05054353
1795.134908,999.8849821,2948.170822,0.050537982
1795.091218,999.8591511,2948.097708,0.050532362
1795.04563,999.832007,2948.021217,0.050526669
1794.998168,999.8035667,2947.941391,0.050520905
1794.948762,999.7737876,2947.858113,0.050515069
1794.897445,999.7426939,2947.771444,0.050509161
1794.844242,999.7103024,2947.681424,0.050503183
1794.789084,999.676572,2947.587943,0.050497134
1794.732007,999.6415263,2947.49106,0.050491013
1794.673034,999.6051825,2947.390817,0.050484823
1794.612103,999.5675017,2947.287109,0.050478563
1794.549248,999.5285076,2947.179997,0.050472232
1794.484495,999.4882182,2947.069527,0.050465834
