q_ch4,q_co2,q_gas,q_h2
1520.353653,787.0013595,2435.069375,0.037387454
1530.744209,792.5731353,2451.872778,0.038093689
1542.573742,799.004372,2471.095022,0.038884916
1555.337555,806.0099872,2491.904536,0.039743125
1567.837054,812.8939525,2512.306999,0.040630263
1584.539049,822.303851,2539.790127,0.041654646
1596.681064,829.0784659,2559.699402,0.042579007
1616.287705,840.3352071,2592.180266,0.043716251
1626.092732,845.8494087,2608.301902,0.044595796
1649.810806,859.7026611,2647.838085,0.04586137
1657.72808,864.2246681,2660.927652,0.046687624
1681.243442,878.1247566,2700.295756,0.047948752
1688.773383,882.5426807,2712.866937,0.048745325
1712.081508,896.4932514,2752.066118,0.049984054
1718.423877,900.3293804,2762.774613,0.050710107
1741.367393,914.237998,2801.542273,0.051905068
1746.018045,917.1805766,2809.530227,0.05253103
1768.441133,930.944572,2847.594799,0.053665471
1771.190043,932.8469895,2852.487629,0.054174953
1792.94468,946.356144,2889.577908,0.055236696
1793.865625,947.2321416,2891.468207,0.055627928
1814.874293,960.4064576,2927.418985,0.056613926
1814.211817,960.3665608,2926.680632,0.056896599
1834.576978,973.2322596,2961.627661,0.057811029
1832.89859,972.5912476,2959.188823,0.058002844
1851.775786,984.5964583,2991.664122,0.05881586
1902.354846,1016.350381,3078.233503,0.060611082
1840.213386,978.2883858,2972.87261,0.058782685
1886.1585,1006.999981,3051.374133,0.060371928
1859.024447,990.5316434,3005.527815,0.059591155
1896.1398,1013.832588,3069.05244,0.060838263
1871.829605,999.0242487,3027.922255,0.060085278
1904.923984,1019.815917,3084.578547,0.061146137
1881.322995,1005.348891,3044.554082,0.060361104
1911.68339,1024.399099,3096.503376,0.061283045
1888.28769,1009.962689,3056.727813,0.060461548
1916.347428,1027.523695,3104.691551,0.061270613
1893.25548,1013.185615,3065.339329,0.060431882
1919.249723,1029.395861,3109.710749,0.061150987
1896.722742,1015.330518,3071.23964,0.060319202
1920.817222,1030.294926,3112.303603,0.060967802
1899.149881,1016.70162,3075.232776,0.06016443
1921.384306,1030.452959,3113.065676,0.060753356
1900.821943,1017.502641,3077.832663,0.059990807
1921.018111,1029.944388,3112.145804,0.060514673
1901.749654,1017.776956,3079.096198,0.05979365
1919.49234,1028.668748,3109.200442,0.06023271
1901.916595,1017.552589,3079.035579,0.059559515
1916.549721,1026.497759,3103.824212,0.059891081
1901.69062,1017.078388,3078.299177,0.059298214
1911.843009,1023.226514,3095.436544,0.059483661
1902.303089,1017.123564,3078.990334,0.059055774
1906.822703,1019.764079,3086.51804,0.059064861
1902.612629,1016.979616,3079.164164,0.058804478
1902.135966,1016.513139,3078.172449,0.058661467
1899.489271,1014.699102,3073.482444,0.058454116
1898.543756,1013.941834,3071.692053,0.058302235
1896.178421,1012.303336,3067.482374,0.058110139
1894.980452,1011.389244,3065.26166,0.057957262
1892.839394,1009.890119,3061.434277,0.057778815
1891.512601,1008.895842,3058.993792,0.057628155
1889.536364,1007.499729,3055.44797,0.057459744
1888.074956,1006.424222,3052.780515,0.057306647
1886.044308,1004.999931,3049.147811,0.057132195
1884.205679,1003.700848,3045.848616,0.056955204
1881.742004,1002.024382,3041.495395,0.056746582
1879.164308,1000.289769,3036.961093,0.056517606
1875.85127,998.1160165,3031.191814,0.056245752
1874.121713,996.9395972,3028.136086,0.055996907
1865.61275,991.5951799,3013.56931,0.055518795
1864.127605,990.6059409,3010.967239,0.05522165
1854.809431,984.8121754,2995.076512,0.054665215
1851.285612,982.6073891,2989.052349,0.054254223
1840.816189,976.1528865,2971.255459,0.053616672
1835.691121,973.0034039,2962.55367,0.053113367
1823.662303,965.6408889,2942.161017,0.052390407
1817.418074,961.8454844,2931.602437,0.05181551
1803.405675,953.3208666,2907.900205,0.05100332
1796.627901,949.2383326,2896.477765,0.050381307
1780.211995,939.2977322,2868.756629,0.049477834
1773.640901,935.3646346,2857.70787,0.048841324
1754.864654,924.0218365,2826.02695,0.047868379
1749.43992,920.7763394,2816.906408,0.047264211
