t,X_T,S_1,S_2,X_1,X_2,C,Z,CO2,B,pH,p_C,q_C,q_CH4
106.3125,11.415378043961324,0.7850923611339977,7.449001234598719,0.8041069249532098,0.6965377702952276,59.762827453235005,56.95807729958082,10.253751388252901,49.509076064982104,6.990332439456478,0.37738140622875177,16.78791815395647,31.056272205176537
106.3333333,11.414361543540515,0.7851014799546766,7.449015761000004,0.8038466403773643,0.6963008473059918,59.7453781501774,56.940342440299105,10.2540514708782,49.4913266792991,6.990164003938112,0.37739373820881433,16.78579806793042,31.049963725716147
106.3541667,11.4133551793797,0.7851153736763448,7.4490666703349655,0.8035870492968996,0.6960644817892647,59.7279482762427,56.92266527938027,10.2543496671973,49.473598609045304,6.989995779931227,0.377405989939994,16.78369262317512,31.04369894888962
106.375,11.412358856932922,0.7851340023097605,7.449153527270121,0.8033281549510676,0.6958286776534923,59.7105389086261,56.90504595793752,10.2546464779587,49.4558924306674,6.989827751446107,0.3774179959675721,16.781568160198145,31.037428461544266
106.3958333,11.41137246822157,0.7851573262175825,7.449275897099738,0.8030699568034618,0.6955934353676599,59.6931491699542,56.88748425138304,10.2549408156709,49.438208354283304,6.98965996655643,0.377430124676875,16.779498561583797,31.031259941482965
106.4166667,11.410395906529258,0.7851853060198641,7.44943336255385,0.8028124542954749,0.6953587553433244,59.675779998131794,56.869980052911046,10.2552333077745,49.4205466903572,6.989492401565983,0.3774421728796531,16.777442912425723,31.025133617011114
106.4375,11.409429080238526,0.7852179020948007,7.449625500820646,0.8025556505395502,0.6951246413438548,59.658432446281005,56.85253349664805,10.2555244504535,49.402907995827405,6.989325040524797,0.3774539766625009,16.775367865375543,31.019000538221427
106.4583333,11.40847188469562,0.7852550753812285,7.449851891165564,0.802299544903739,0.6948910937187501,59.641105616550995,56.83514435395347,10.2558131537631,49.3852924627879,6.989157931460286,0.3774659051049772,16.773347443384278,31.01296857751947
106.4791667,11.407524216470039,0.785296787078547,7.45011213007348,0.8020441367351123,0.6946581127617091,59.6238004364131,56.81781251446298,10.2561000520236,49.3677003843895,6.988991050247994,0.3774777527221652,16.771340276879737,31.00697731186653
106.5,11.406585986782048,0.7853429979520951,7.450405806819379,0.801789429022805,0.6944257020953027,59.6065179352658,56.80053810555039,10.2563856365348,49.350132298731005,6.988824380996078,0.37748935723908017,16.76931335035938,31.000978283267372
106.5208333,11.405657094199928,0.7853936695308436,7.4507325141584895,0.8015354210428837,0.6941938619539756,59.589257195486205,56.78332089476179,10.2566688148829,49.332588380603305,6.988657971691846,0.37750108842560337,16.76734082623926,30.99507955741849
106.5416667,11.404737438477424,0.7854487636068883,7.451091861855545,0.801282112051626,0.6939625925179549,59.5720191350975,56.76616076842964,10.2569502285234,49.3150689065741,6.988491797777312,0.3775127384085558,16.76538086211731,30.98922003362656
106.5625,11.403826933584586,0.785508241350465,7.451483450853016,0.8010295049182924,0.6937318972731893,59.5548047601279,56.74905784740142,10.2572303635795,49.2975743965484,6.988325843435844,0.3775241466409656,16.763400792508396,30.98335177222343
106.5833333,11.402925481212069,0.7855720648927873,7.451906886931451,0.8007775988304442,0.6935017763433815,59.5376131338519,56.732011895640056,10.2575081251432,49.2801050087086,6.988160156620989,0.3775356835835935,16.76147491926861,30.977583032150307
106.6041667,11.40203298419939,0.7856401966301851,7.452361792677441,0.8005263929570154,0.6932722297995575,59.5204451658136,56.71502279642085,10.257784162070099,49.2626610037434,6.987994712335362,0.3775471388816717,16.7595609086334,30.97185200820355
106.625,11.40114935918115,0.7857125981537019,7.452847780296839,0.8002758900507607,0.6930432609951165,59.503301838979105,56.69809066428164,10.258058954994299,49.245242883984794,6.987829494855288,0.377558353813607,16.757626464826153,30.966111307638858
106.6458333,11.400274510873805,0.7857892322071612,7.453364468148042,0.8000260892141389,0.6928148699472174,59.486182198220504,56.681215259826544,10.2583314065419,49.2278507916785,6.987664552104483,0.37756969951530106,16.755746025857864,30.960469377852494
106.6666667,11.399408345107211,0.7858700618009631,7.45391149119783,0.7997769895321117,0.6925870566218383,59.4690871454973,56.66439646350783,10.2586021731872,49.21048497231,6.987499858642036,0.37758096307350597,16.75387675133107,30.954863687010796
106.6875,11.398550781097924,0.7859550489611293,7.454488472526576,0.7995285936442322,0.6923598242438026,59.452017641034296,56.64763438376458,10.2588717297962,49.193145911238005,6.987335398853393,0.3775919876792426,16.75198673281779,30.94924741488316
106.7083333,11.397701726494628,0.7860441570528264,7.4550950426393925,0.7992809005711814,0.6921331727278077,59.4349727119667,56.63092877805749,10.2591389765486,49.175833735418095,6.987171220636554,0.37760314513185717,16.750150541997563,30.94372919368921
106.7291667,11.39686109002502,0.7861373497087611,7.455730848457919,0.7990339093172442,0.6919071019388239,59.417953253540496,56.61427952424092,10.259404577757499,49.158548675783,6.987007298102715,0.37761421988333466,16.748324816671662,30.938245742985902
106.75,11.396028793407595,0.7862345894024656,7.456395523562933,0.7987876224120117,0.6916816149769733,59.400960203537196,56.597686724858036,10.259669002242001,49.141291201295104,6.986843615762448,0.37762505712551553,16.746478053568975,30.932750840869073
106.7708333,11.395204747132562,0.7863358401276517,7.457088710191279,0.7985420387976345,0.6914567116584612,59.3839925720198,56.58115013443438,10.259931147776701,49.1240614242431,6.98668022149104,0.37763602930308116,16.744684954266962,30.927353298882064
106.7916667,11.394388862735852,0.7864410661460691,7.457810066809921,0.7982971574009403,0.6912323917511791,59.367051248346996,56.564669628442324,10.2601916867145,49.106859561632405,6.986517088948051,0.377646918164291,16.742901621044055,30.921989068089882
106.8125,11.393581064360323,0.7865502303897525,7.458559237140364,0.798052980644733,0.6910086582343243,59.3501371481329,56.54824530372466,10.2604510815486,49.0896860665843,6.986354202785016,0.3776575709906561,16.74109697369844,30.91661255085772
106.8333333,11.392781265249848,0.7866632974867253,7.4593358747519805,0.7978095073958053,0.6907855108294702,59.3332492650415,56.53187691207328,10.2607082277201,49.0725410373213,6.9861916108561,0.3776683608451848,16.739345838154644,30.911332729965558
106.8541667,11.391989379661725,0.7867802323331134,7.460139649262879,0.7975667365066706,0.6905629492112466,59.3163884833151,56.515564326784876,10.2609638057931,49.055424677522,6.986029286366537,0.3776790667139403,16.737603769528633,30.90608477112572
106.875,11.39120533408804,0.7869009983290012,7.460970214189732,0.7973246702964569,0.6903409762416092,59.2995556966801,56.49930763919073,10.2612182716791,49.038337425001004,6.985867214123536,0.3776895380499634,16.735840127183103,30.900823724837462
106.8958333,11.39042904444115,0.7870255607411467,7.461827234050411,0.7970833075596965,0.6901195915512476,59.282749883049696,56.48310659854391,10.2614705185561,49.0212793644935,6.9857054419615885,0.3777001485086615,16.734129856051734,30.895658737340835
106.9166667,11.389660427615572,0.7871538851040765,7.462710389234994,0.7968426470776567,0.6898987947252437,59.265971922285296,56.466961076161994,10.2617212353583,49.004250686927,6.985543942629291,0.37771067426033283,16.732427953411644,30.8905241735271
106.9375,11.388899412379775,0.7872859352941121,7.463619342723465,0.796602691068837,0.6896785885118966,59.2492226864956,56.45087115804827,10.2619708711707,48.987251815324804,6.985382701103624,0.37772096700832924,16.730704234053096,30.885375754960606
106.9583333,11.388145917232094,0.787421677219921,7.464553769612928,0.7963634382585315,0.6894589724546576,59.2325011384826,56.43483659110442,10.2622183169911,48.970282821491494,6.985221765200182,0.37773140097113295,16.72903375590291,30.880322782582237
106.9791667,11.38739986162269,0.7875610770572284,7.46551336070078,0.7961248873597561,0.6892399460526668,59.2158081544264,56.418857244857485,10.2624642702697,48.9533438841567,6.985061107208967,0.37774174945446043,16.727370948662163,30.87529880635478
107.0,11.386661176525857,0.7877040991655138,7.466497788111633,0.7958870404933648,0.6890215119440602,59.1991445850694,56.40293320015933,10.2627091730216,48.9364354120477,6.984900712290629,0.3777518664908447,16.72568609841041,30.870260241821054
107.0208333,11.385929782945922,0.7878507100973594,7.467506737166907,0.7956498963183627,0.6888036695885906,59.1825093787372,56.387064201741204,10.2629519141629,48.9195574645743,6.984740628241826,0.37776212682784616,16.72405436911749,30.86531653450826
107.0416667,11.385205602809668,0.7880008766713514,7.468539908720691,0.7954134534824355,0.6885864184029589,59.165903408588896,56.3712501175201,10.2631931997894,48.902710208799405,6.984580826892549,0.3777723008638361,16.722429614370846,30.860400407082587
107.0625,11.384488569228825,0.7881545637358589,7.469596983736325,0.7951777140117122,0.6883697609185423,59.149327504245,56.35549102336723,10.2634334646141,48.885894039630905,6.984421293600405,0.37778224503603086,16.720782606714057,30.855468990968188
107.0833333,11.383778605636214,0.7883117384883014,7.4706776574184035,0.7949426765017846,0.6881536965148325,59.1327806001746,56.33978666201751,10.2636715955754,48.8691090045991,6.98426207614268,0.37779233458576394,16.71918860894818,30.85063186578661
107.1041667,11.383075636358651,0.7884723683907298,7.471781640340652,0.7947083395378565,0.6879382245294924,59.1162635671466,56.324136899951554,10.2639083075356,48.8523552596109,6.98410314588816,0.3778023369646315,16.717600890667725,30.84582091549247
107.125,11.38237959657903,0.7886364187850254,7.472908622011523,0.7944747050541893,0.6877233473904548,59.0997772138812,56.30854180822273,10.2641440276699,48.835633186211204,6.983944488404694,0.37781211109148083,16.715990726327522,30.840994009677143
107.1458333,11.381690412083575,0.7888038575133616,7.474058307191036,0.794241771585765,0.6875090644002877,59.0833204616231,56.29300112774044,10.264377641073601,48.8189428205494,6.983786151448364,0.3778220326565584,16.71443346844393,30.836260848803832
