q_gas,q_ch4,q_co2,q_h2,p_gas,p_gas_h2,p_gas_ch4,p_gas_co2
2814.465074,1712.97868,954.9207445,0.043165992,1.069289301,1.64E-05,0.650805651,0.362799505
2810.590316,1710.742239,953.4736012,0.043109223,1.069211806,1.64E-05,0.650804846,0.362722815
2805.109109,1707.572536,951.4325762,0.043029037,1.069102182,1.64E-05,0.65080161,0.362616427
2802.222999,1705.906732,950.3547131,0.042986766,1.06904446,1.64E-05,0.650801218,0.362559097
2798.893357,1703.979944,949.1162115,0.04293798,1.068977867,1.64E-05,0.650798946,0.362494777
2801.187362,1705.315528,949.9613974,0.042971445,1.069023747,1.64E-05,0.650803592,0.362536011
2799.44983,1704.305048,949.3201116,0.042945912,1.068988997,1.64E-05,0.650800498,0.362504354
2801.634729,1705.573584,950.1286267,0.04297785,1.069032695,1.64E-05,0.650803585,0.362544965
2797.978042,1703.450885,948.7751399,0.04292439,1.068959561,1.64E-05,0.65079857,0.362476846
2800.885371,1705.142082,949.8477597,0.042966969,1.069017707,1.64E-05,0.650803884,0.362529679
2744.569132,1672.437623,929.0186589,0.042142942,1.067891383,1.64E-05,0.650733008,0.361474232
2768.378126,1686.338008,937.7501091,0.042492324,1.068367563,1.64E-05,0.650788565,0.361894854
2773.554485,1689.328641,939.6800466,0.042567066,1.06847109,1.64E-05,0.650789023,0.361997923
2778.300853,1692.075083,941.4454753,0.042636301,1.068566017,1.64E-05,0.650791267,0.362090607
2782.78178,1694.668358,943.1117815,0.042701852,1.068655636,1.64E-05,0.650793714,0.362177777
2787.35703,1697.316569,944.8128539,0.042768822,1.068747141,1.64E-05,0.650796511,0.362266486
2792.665114,1700.389687,946.7857083,0.0428465,1.068853302,1.64E-05,0.650800242,0.362368916
2795.062397,1701.772666,947.6816528,0.042881603,1.068901248,1.64E-05,0.650800114,0.36241699
2800.550142,1704.951956,949.7192031,0.042961928,1.069011003,1.64E-05,0.65080513,0.362521728
2807.050772,1708.714632,952.1363234,0.043056949,1.069141015,1.64E-05,0.650810065,0.362646806
2800.304208,1704.792055,949.6453098,0.042958381,1.069006084,1.64E-05,0.65079825,0.36252369
2810.471736,1710.695845,953.4072658,0.043107212,1.069209435,1.64E-05,0.650813212,0.362712078
2804.125342,1707.006031,951.0638675,0.043014364,1.069082507,1.64E-05,0.650801966,0.362596396
2800.788868,1705.076258,949.8218431,0.042965771,1.069015777,1.64E-05,0.650800009,0.362531624
2795.590675,1702.064706,947.8918088,0.042889787,1.068911814,1.64E-05,0.650795228,0.362432441
2798.467442,1703.740518,948.9507474,0.042931841,1.068969349,1.64E-05,0.650801351,0.362483854
2800.89159,1705.14423,949.851523,0.042967124,1.069017832,1.64E-05,0.650803335,0.362530353
2759.686822,1681.219599,934.6068061,0.042364355,1.068193736,1.64E-05,0.650750741,0.361758852
2767.426041,1685.764405,937.4186804,0.042478277,1.068348521,1.64E-05,0.650779418,0.361884959
2773.005612,1689.005469,939.4814656,0.04255935,1.068460112,1.64E-05,0.650786628,0.36198934
2777.846954,1691.809884,941.2791979,0.042629887,1.068556939,1.64E-05,0.650790062,0.362082734
2782.346358,1694.414407,942.9518166,0.04269563,1.068646927,1.64E-05,0.650792718,0.362170065
