t,n_out_M,n_out_C,n_out_S,n_out_W
1.0416666666666667,3029.6020796877897,987.5585906714447,20.147254498260605,237.7024101916932
1.0833333333333333,3033.6881941631655,982.8358426477932,20.19847367751691,237.66822388152465
1.125,3037.1917499307106,977.7913109063549,20.226422781126747,237.57948314362642
1.1666666666666667,3040.188466025946,972.5249758754444,20.235047599968038,237.4467512209725
1.2083333333333333,3042.7452825078662,967.1218971661582,20.227747681015668,237.27916584722902
1.25,3044.9211971172003,961.6536398937772,20.207434708761863,237.08457571118055
1.2916666666666667,3046.768068839093,956.1797349020626,20.176590161353833,236.86967692480195
1.3333333333333333,3048.3313539182004,950.7490796558982,20.137318918938657,236.6401417946994
1.375,3049.6507824993287,945.4012543963572,20.091398136955604,236.40073884546214
1.4166666666666667,3050.7609906667794,940.1677715774277,20.04032179289323,236.15544604808414
1.4583333333333333,3051.692095989495,935.0732036914125,19.985340099747237,235.9075532787266
1.5,3052.470213067165,930.136189327108,19.927493907976434,235.65975379900968
1.5416666666666667,3053.117920040328,925.3703365867104,19.867644870130096,235.41422657216697
1.5833333333333333,3053.6547477939757,920.7851329742143,19.806504704905684,235.17272024617992
1.625,3054.097465631287,916.3864667669178,19.744653648962206,234.93660168681686
1.6666666666666667,3054.460476840203,912.1773455504178,19.68256283682981,234.70692280239277
1.7083333333333333,3054.7561371378138,908.1584463077089,19.620611971256228,234.48447265265838
1.75,3054.9950000384506,904.3285147783535,19.559102777479005,234.26981614990117
1.7916666666666667,3055.1860552206963,900.68476091989,19.498271652686466,234.0633320731254
1.8333333333333333,3055.33695919353,897.2232180765254,19.438301267461124,233.86524843497313
1.875,3055.454212029369,893.9390018961966,19.37932932831259,233.67566861509803
1.9166666666666667,3055.5433223468467,890.8265444498875,19.321456473915635,233.4945952940506
1.9583333333333333,3055.608968439793,887.8798127303592,19.26475365905559,233.3219532125596
2.0,3055.6550946490565,885.092432608744,19.2092666720257,233.15760239386108
2.0416666666666665,3055.685011819616,882.4578112788564,19.155020598088463,233.0013515147246
2.0833333333333335,3055.701503847748,879.9692620686617,19.10202433689376,232.8529717775275
